text,id,length,has_url,has_phone,label
너도 궁금하면 저번에 말했던 레시피 이기광이 추천한 거 <URL>하나 드릴게 ㅎㅎ 다음에 보면 그거로 요리해봐~,84087,62,1,0,0
"방이 좀 북적북적해져서 청소하느라 힘드네...ㅠㅠ 근데 이거 어디 다 둬야 할지 모르겄어, 대충 사진 찍어서 너한테 물어볼께 <PHONE>으로 전송할 테니까 확실하게 알려줘~~",76124,98,0,1,0
헤어졌다고 미가 걱정돼서 너한테 번호 알려달래^^; 진행상황 알려준다고 하더라구 <PHONE> 이게 미 번호야!,111058,62,0,1,0
"아까 물어본 그집 전화번호 찾았어! 여기 <PHONE>야, 연락하면 될 것 같아ㅋㅋ 고마워!",99735,51,0,1,0
와 이번에 새로 나온 영화 예고편 너무 대박이야ㅋㅋㅋ 여기 <URL> 한 번 봤으면 좋겠어!,64361,51,1,0,0
이번 주말에 같이 갈 카페 정보 링크 공유할게! 한 번 보고 괜찮으면 알려줘~ <URL> ㅎㅎ,99997,52,1,0,0
"오늘 브런치 메뉴 뒤적거리다가 발견한 완전 맛집인데, 다음에 같이 가볼래? 이 링크에서 메뉴판 미리 봐봐 <URL>!",113462,65,1,0,0
"어제 갔던 카페 너무 예뻐서 사진 찍어서 넣어뒀어 <URL>, 놀랄거야 ㅎㅎ 다음에 같이 가자!",111385,53,1,0,0
남친선물로 <URL> 저번에 얘기했던 그거 사봤어! 보니까 그럴싸하담ㅋㅋ 어때?,96746,44,1,0,0
아 루미랑 같이 볼 영화 예고편 찾았어! 여기 링크에 <URL>진짜 대박임 빨리 봐봐 ㅋㅋㅋ,74853,51,1,0,0
야 일찍 나와서 점심 같이 먹을래? 만나는 건 보통 장소인데 ㅋㅋㅋ 아무래도 멀면 내가 데려가 줄게. 연락은 <PHONE> 번으로 해줘~,47807,76,0,1,0
"우리 주말에 놀러갈 데 찾았어, 너무 좋아ㅎㅎ 링크 놔둘게, 시간나면 한 번 들어가봐 <URL>",113504,53,1,0,0
"헐, 어제 카페에서 만났던 사람 번호 찾았다 <PHONE>! 연락 한 번 해봐 ㅎㅎㅎ",111675,47,0,1,0
날씨 어때? 밖에 안나갔다면 이 사이트에서 확인해봐 <URL> 우산 챙기는게 좋을 것 같아ㅎㅎ,99738,52,1,0,0
"오늘 밤엔 네 일정이 없다면서, 나 조금 전에 지나가는 카페에서 2+1 행사 하고 있더라구ㅎㅎ 번호 미리 저장하고, 혹시나 해서 시간 될 때 연락해봐 <PHONE>",82831,91,0,1,0
"야, 진희네 집 주소 잘 모르겠다면 이 번호로 물어봐 <PHONE>, 방금 전화하니까 집에 있대 ㅋㅋ",42724,56,0,1,0
"너무 너무 귀여운 강아지 영상 찾았어, 이거 한번 봐봐!! <URL>",48001,38,1,0,0
"너 아까 보던 영상이야? 링크 찾아서 보내준다 <URL>, 근데 중간에 뭐 좀 이상하면 <PHONE>으로 전화해줘 ㅋㅋ",64125,66,1,1,0
오랜만에 이런 거 봤나 싶어서 보내봐! 진짜 웃긴건 아니고 그냥 한번 웃어봐봤다 싶은 거 ㅎㅎ <URL>,67999,58,1,0,0
"아 오늘 너무 웃겼어, 참고로 그 스파이캠 동영상 여기에 업로드 해뒀으니까 <URL> 접속해서 한 번 봐봐! 그리고 혹시 모르니 내 번호 이거야, <PHONE>. 잘 자!",111414,95,1,1,0
다음에 점심 약속 잡을 때는 <PHONE>로 해줘! 피자 좋아하는데 굳이 비빔밥은 이해가 안 가 ㅋㅋㅋ,76175,57,0,1,0
너 내일 픽업 좀 해 줄래? 시간이랑 장소는 이 링크에 올려놨어. <URL> 헷갈리는 거 있으면 바로 나한테 전화해 <PHONE> !,83766,74,1,1,0
"오늘 같이 날씨도 좋은데, 낚시나 갈래? 일단 기다려봐, 구체적인 위치랑 시간은 곧 <PHONE>으로 연락할게! 두근두근~",76729,68,0,1,0
"야, 어제 투표장에서 찍은 사진 너무 웃겨 봐봐 ㅋㅋㅋ 여기다가 올려놨어 <URL>, 근데 내 전화가 갑자기 안 돼서 너 <PHONE> 으로 연락왔으면 좋겠어!",96169,89,1,1,0
"아 마자ㅋㅋ 그 티켓 예매 완료했어! 이게 바로 키노링크 <URL>이구, 나중에 변경하고 싶으면 이 번호로 전화해 봐 <PHONE>.",68686,74,1,1,0
"오늘 아침에 말했던 그 레시피, 이 링크에서 찾을 수 있을거야 <URL> 한 번 참고해봐~!",135981,51,1,0,0
이번 주말에 웃긴 걸 찾았어 ㅋㅋㅋ 진짜로 봐봐 <URL> 그리고 혹시 모르니 내 번호도 가져가 <PHONE>,130189,61,1,1,0
어제 찍은 사진 ㄹㅇ 대박이지 않아? 궁금하면 링크 눌러봐! <URL> 긴급시 이 번호로 전화주라구 <PHONE> ㅎㅎ,69455,66,1,1,0
"야, 내일 바로 작업해야 하니까 이거 꼭 확인해봐. 궁금한 거 있으면 <PHONE>로 전화해서 물어봐!",111095,57,0,1,0
"오늘 한강에서 찍었던 저녁노을 사진, 넘 선명하게 잘 나온 것 같아서 보여주려고 블로그에 올렸어! 링크는 여기 <URL> ㅋㅋ 한 번 봐봐!",58689,78,1,0,0
"헉, 나 갑자기 급한 약속 생겨가지고 그런데 너한테 내가 버금버금 찾던 그 책 빌려갔던 기억 나? 어서 좀 돌려줘 ㅜㅜ 내일 아침 알람 같이 오면 딱일거 같은데, 이 번호로 <PHONE>!",76460,105,0,1,0
"뒷고기 사진 업로드해놨어, 니 물어보던 그거 맞아ㅎㅎ 봐봐 <URL>",75818,38,1,0,0
"담주 토요일 약속 잡았던 것 기억나지? 어디서 만나는건지 까먹었다면, <PHONE>으로 전화줘! 내가 친절히 알려줄게ㅎㅎ",43076,67,0,1,0
"이번 주말 놀러갈 카페, 리뷰가 좋더라고, 여기서 한 번 확인해봐 <URL> 어때, 같이 갈까?",49227,53,1,0,0
"강아지키우기 팁이야, 요즘 잘 따라하니? 링크나 확인해봐ㅎㅎ <URL>, 혹시나 더 궁금한 점 있으면 내 번호로 연락줘 <PHONE>",75520,74,1,1,0
"오늘 저녁 회사 시간 날리려면 진짜 급한게 생겼다고 얘기해야 할 것 같애 ㅠㅠ 바쁜데 내 사정 좀 들어줄래? 연락할께, 번호는 <PHONE>야. 내일보자 ㅎㅎ",99380,88,0,1,0
"어제 그 카페 신메뉴 진짜 대박 맛있더라고 ㅋㅋㅋ 근데 이름을 또 까먹었네 ㅎㅎ 이따가 퇴근하면 한 번 전화해줘, 그 때 다시 물어볼게 <PHONE>.",100414,84,0,1,0
진짜 이번에 내한하는 그 가수 라이브 좋다니까? 티켓 판매 사이트 바로가기 여기야 <URL> 확인해봐ㅎㅎ,48140,58,1,0,0
와 주말에 날씨 너무 좋드라 ㅎㅎ 담주에 피크닉 가자! 참고로 장소 정보는 <URL>이고 만약 내가 늦게 가면 <PHONE>으로 연락해줘~!,66979,78,1,1,0
"요즘 너무 힘들면 이거라도 봐, 기분 좀 풀리라구! <URL> 최고인데 ㅋㅋ",48025,42,1,0,0
나 이번 주말에 갈 카페 추천 좀 받았는데 <URL> 이거 사진 보니까 좋아보이지 않아? 한 번 가볼까 ㅎㅎ,83502,60,1,0,0
"야, 내가 얘기했던 그 냥이 보러 가자는거 기억나? 아 심히 재밌을거 같아서 ㅋㅋ 일정 어때? 괜찮으면 이 번호로 <PHONE>연락와 줘! 그럼 알려줄게!",76449,86,0,1,0
"아, 그런데 내일 특별히 할 일 없으면 같이 피크닉 가지 않을래? ㅋㅋ 그럼 내일 아침에 핸드폰 번호 <PHONE>으로 위치 보내줄게, 나중에 확인해봐~",41893,85,0,1,0
너도 꼭 봐야 할 것 같아서 링크 보내. <URL> 이거 보고 나서 얘기하자 ㅎㅎ,83218,45,1,0,0
"야, 나 지금 조금 바빠서 전화 못 받을거 같아ㅠㅠ 문제 있으면 이 번호로 문자 보내줘 <PHONE> 돼냐?",45456,60,0,1,0
"헬스장 회원카드 분실했어?ㅠㅠ 여기 000-0000-0000, 헬스장 번호야. 바로 전화해봐!",67140,52,0,1,0
오늘 점심메뉴 뭐하냐고? 링크 여깄어! 진짜 맛있어 보여 <URL> 누르고 반응 좀 보였음 좋겠어ㅎㅎ,68049,56,1,0,0
"야, 나 오늘 우리 집에 가봤니? <PHONE> 이 번호인데, 연락 오면 나한테 다시 연락해줘! 참고로 냉장고에 케이크 두었어, 사진 보여줄게, 여기서 확인해봐 <URL> ㅋㅋ 맛나겠지?",58733,104,1,1,0
요즘 유행하는 노래 들어봤어? 춤추기 딱 좋아 ㅋㅋ 다음에 클럽 가면 이거 틀자~! 참고하라고 미리 링크 보내줄게 <URL>,67715,69,1,0,0
"요즘 가볍게 운동할 수 있는 곳 찾아봤는데, 꽤 괜찮은 곳 찾았어. 내일 같이 가볼래? 주소 모르면 내 번호로 연락해 <PHONE>",83413,73,0,1,0
이번 주말 영화 같이 볼까? <URL> 여기서 시간표 확인하고 말해줘 ㅎㅎ,90051,41,1,0,0
너처럼 일이 잘 안 풀리면 뭐라도 하고 싶어져서 완전 귀여운 개구쟁이 강아지 입양했어! 사진은 이 링크에 올려두었어 <URL>. 복사해서 보러가봐~~ 더 궁금한 거 있으면 <PHONE> 로 편하게 연락해~,64430,114,1,1,0
여기 웃긴 영상 찾았는데 봤어? 진짜 대박이야ㅋㅋㅋ 링크 확인해봐 <URL>,131025,42,1,0,0
"이번 주말에 가볼 만한 카페 몇 군데 찾아봤어, 여기 링크에 정보 다 있으니까 천천히 봐봐 <URL> :)",41766,59,1,0,0
"오늘 같이 먹으면서 이야기할 거 있거든, 퇴근하고 나한테 <PHONE>으로 전화 좀 해줄래? 꼭이야, 안 까먹고! ㅎㅎ",48029,66,0,1,0
"요즘 많이 보는 그 영화, 티켓 예매하려면 여기로 들어가봐 <URL> 많이 본다던데 재밌을 것 같음ㅎㅎ^^",130102,59,1,0,0
오늘 점심 같이 먹으러 올 거지? 혹시 내 위치 몰라서 헷갈리면 이 번호로 전화라도 해 <PHONE>ㅎㅎ 얼른 와!,130479,64,0,1,0
