text,id,length,has_url,has_phone,label
크 난 지금 돌아가면 결혼식 안 할래 키키,84087,23,0,0,0
요즘 너 알바 새로 시작했다면서?~,76124,19,0,0,0
요즘 너 운동 하는 거 있어?,111058,16,0,0,0
오늘 사회 이슈 보니까 일교차가 심한게 문제라더라,99735,27,0,0,0
이번에 여행 한 번도 못 갔어 ㅜㅜ,64361,19,0,0,0
요즘 다들 뉴스 좀 보니?,99997,14,0,0,0
휴양지로 여행 가고 싶다 키키,113462,16,0,0,0
너 여자친구 몸은 좀 어때?,111385,15,0,0,0
이번에 시험 준비하는데 너무 빠듯하다 ㅠㅠ,96746,23,0,0,0
아 오늘도 낮에 뜨거워서 화나더라,74853,18,0,0,0
바로 옆이긴 한데 거긴 지금 가도 엄청 더울 듯 키키,47807,29,0,0,0
요새는 대선 때문에 난리네,113504,14,0,0,0
학원은 많이 다닌 편이었어?,111675,15,0,0,0
키키 아 감기 죽겠다 진짜,99738,14,0,0,0
요새 날씨 진짜 이상하제 키키,82831,16,0,0,0
니는 요즘 자격증 공부 같은 거 하는 거 있나?,42724,26,0,0,0
오빠 동생 있음?,48001,9,0,0,0
아 요즘 마스크를 너무 썼더니 턱에 뭐가 난다 ㅠㅠ,64125,28,0,0,0
너는 군대 다닐 때 생활관 어땠어?,67999,19,0,0,0
아 지금 내가 하는 일이 잘 맞는지 모르겠다,111414,24,0,0,0
화이자 시간 지날수록 면역 효과 떨어진대,76175,22,0,0,0
어떤 아내를 가지고 싶어 키키,83766,16,0,0,0
알바해본 적 있니?,76729,10,0,0,0
니는 운동하는 거 좋아하나?,96169,15,0,0,0
오빠는 여행사 통해서 여행 해봤어요?,68686,20,0,0,0
이제 수능 시험도 얼마 안 남았네,135981,18,0,0,0
너 친구 직업군인이라고 했나?,130189,16,0,0,0
아 졸려 식사는 했어?,69455,12,0,0,0
이제 또 다음주에 부모님 뵈러 가야겠네 키키,111095,24,0,0,0
언니는 뭐 수술 받은 건 없었어요?,58689,19,0,0,0
필리핀 복싱 선수가 대통령 선거에 출마한다네 키키,76460,27,0,0,0
근데 인스타에 약 홍보 많잖아,75818,16,0,0,0
너 이번에 미용실 간댔나?,43076,14,0,0,0
요즘 위드 코로나라고 들어봤어?,49227,17,0,0,0
배우나 장르에 따라 즐겨보는 영화가 있나?,75520,23,0,0,0
너 요새 오징어게임 보냐?,99380,14,0,0,0
우리 강아지 또 잔다,100414,11,0,0,0
스터디 같은 거 해봤나 하하,48140,15,0,0,0
넷플 디피라는 영화 봤어?,66979,14,0,0,0
아 나 이번에 결국 내가 하던 게임 길드 터트려버렸쩡...힝 8ㅅ8,48025,37,0,0,0
너는 직장 생활 중에 뭐가 제일 기대돼?,83502,22,0,0,0
일할 때 뭐 회의도 하고 그랬나? 키키,76449,21,0,0,0
오우 가을 들어서자 너무 피부 건조해용...,41893,24,0,0,0
언니 영화는 잘 봐요? 키키,83218,15,0,0,0
급여 협상은 언제쯤 하려구?,45456,15,0,0,0
이제 공무원 시험에 사회랑 과학이 없어졌대,67140,23,0,0,0
하와이 화산 폭발한 이야기 알아?,68049,18,0,0,0
저녁 뭐 드심?,58733,8,0,0,0
얘들아 너무 배고프지 않냐 ㅠㅠ 야식 먹음?,67715,24,0,0,0
미국 데이트 앱 살인마 알아?,83413,16,0,0,0
러시아에 코로나 사망자가 일일 최초로 1000명이 넘었다네,90051,32,0,0,0
밥은 먹고 다니나 ㅜㅜ,64430,12,0,0,0
중국 요즘 전력이 부족하다고 난리래 키키,131025,22,0,0,0
내 친구 네 집에 강아지가 새끼 낳았는데 진짜 귀엽더라 키키,41766,33,0,0,0
아니 오징어 게임 봤냐 넷플 드라마 키키,48029,22,0,0,0
너 옷 어디 쇼핑몰에서 삼?,130102,15,0,0,0
일본에 활화산이 분화했다네,130479,14,0,0,0
보험은 그래도 계속 들어야겠지?,82975,17,0,0,0
오랜만에 보글보글 게임 하고 싶어요 버블버블인가,61068,26,0,0,0
오늘 학원 상담 받으러 갈 거 같아!,76511,20,0,0,0
이번에 mri기계 안에서 검사 받다 돌아가신 분 봤어?ㅠ,133417,31,0,0,0
니는 인테리어 이런 데 관심 좀 있나?,113392,21,0,0,0
나도임 키키 근데 우리 부모님이 그런 거 신경 많이 안 쓰셨어,130451,34,0,0,0
너는 다이어트 같은 거 자주 해?,83514,18,0,0,0
워커 사 하하 군인처럼 멋지고 당당하게,83563,21,0,0,0
여름 이불 들여 놓으려고 세탁소 가야겠어,129185,22,0,0,0
ㅇ ㅏ그럴수도 키키 그럼 도둑들 봐 다들 제발 ㅠ 내 인생영화,67094,34,0,0,0
물고기 키워 본 적 있나?,85070,14,0,0,0
여행 가본 곳 말해보장,73413,12,0,0,0
아 어제 회의 했는데 너무 빡세다,131756,18,0,0,0
유퀴즈 시청 하시는 분,64248,12,0,0,0
대구 유흥업소에서 코로나 많이 발생했나 봐요,43154,24,0,0,0
뭔가 난 제복 중에 해군 제복이 멋있는 거 같아 키키,42122,29,0,0,0
성형수술 할까 쌍커풀이라던지,68190,15,0,0,0
니는 다이어트에 관심 있는 편이가?,129219,19,0,0,0
무슨 계절을 제일 좋아해?,61925,14,0,0,0
진짜 월세 살면 돈 모으기 힘든 것 같다!,84763,23,0,0,0
한 몇달 걸리지 않을까 키키,64262,15,0,0,0
해산물 좋아해?,135676,8,0,0,0
언니 주식이나 투자 같은 거도 해?,48112,19,0,0,0
짱구 오랜만에 보는데 재밌더라,76200,16,0,0,0
넌 이상형 따로 있어?,95018,12,0,0,0
여행 가기 전에 날씨 체크부터 하고 가자...,61097,25,0,0,0
** 목 마르지 않뉘?,42679,12,0,0,0
우리 엄마도 스우파 무섭대,83605,14,0,0,0
아 요즘 건망증이 너무 심한 거 같아,83695,20,0,0,0
그러다 너 여친 스트레스 받아서 쓰러지는거 아니야?,110885,28,0,0,0
물건 살 때 가격 비교해보면서 사요? 키키,43158,23,0,0,0
자격증 있는 거 있냥...?,76751,15,0,0,0
음주운전 관련 법 해외만큼 처벌이 강력해졌으면 좋겠다,75034,29,0,0,0
너 스키장 가본 적 있어?,68224,14,0,0,0
할머니집 화장실 공사는 끝났어?,111390,17,0,0,0
아프면 병원에 자주 가는 편이에요?,61243,19,0,0,0
얘들아 밥 먹었니,67695,9,0,0,0
날씨 진짜 이상하네,92975,10,0,0,0
얌 메이플 스토리가 아직도 있더라 키키,41888,21,0,0,0
아직도 신규 확진자가 천명대라... 오늘부터 부스터샷 접종 시작된대!,89909,38,0,0,0
강아지들 만나는 모임에서 산책하고 운동하는 건데 반달이 말고 다른 강아지들,58529,41,0,0,0
요즘 아픈데 없냐 건강해?,47791,14,0,0,0
아 막 테이즈런너 같은 거 있잖아 키키,64660,21,0,0,0
