text,id,length,has_url,has_phone,label
영어 공부 다시 좀 해야겠더라 키키,68200,19,0,0,0
"우리 결혼하면 고양이 키워야해, 아니 우리 무조건 키워!",95039,31,0,0,0
아 요새 자꾸 회식 하는데 술 마시는 거 너무 힘들다,130088,29,0,0,0
이번 주말 놀러갈 마당극 티켓 사이트 링크 드리겠습니다! <URL> 해당 사이트에서 바로 예매 가능해서 편하더라고요!ㅎㅎ,41332,67,1,0,0
당근마켓에 알바 구한대 키키,42035,15,0,0,0
둘다 연애 안하니?,111436,10,0,0,0
동생아 만원 줄게 화장실 청소 좀 해주련?,47661,23,0,0,0
야구 보는 거 좋아해요? 키키,76575,16,0,0,0
엄마 나 피부 레이저 받고 싶어,83054,17,0,0,0
형은 엄마랑 아빠 중에 누가 더 좋아?,76432,21,0,0,0
여행사에서 나오는 여행 상품으로 여행해 본 적 있어?,42309,29,0,0,0
여기 웃긴 영상 찾았는데 봤어? 진짜 대박이야ㅋㅋㅋ 링크 확인해봐 <URL>,131025,42,1,0,0
넌 영양제 많이 챙겨 먹는 편이야?,42114,19,0,0,0
헐... 추석에 고향 집에서 노모와 아들 부부 숨진 채로 발견 됐단다...,42732,41,0,0,0
아 바람 쐬고 싶다 ㅠㅜ,47806,13,0,0,0
우리 집 물 새는 이유를 알았어!,130872,18,0,0,0
나 지금 알바 면접 보고 왔어!,129527,17,0,0,0
아 빨리 겨울 왔으면 좋겠다...,58784,18,0,0,0
처형 요새 형님이랑 많이 싸우신다면서요?,64345,22,0,0,0
여수 층간 소음 살인 봤냐,69428,14,0,0,0
"야, 나 지금 조금 바빠서 전화 못 받을거 같아ㅠㅠ 문제 있으면 이 번호로 문자 보내줘 <PHONE> 돼냐?",45456,60,0,1,0
오늘 하루 어땠어? 나한테 좀 말해봐. 니가 힘들 때면 언제든지 이 번호로 전화와 <PHONE> 너무 힘들지마 잘 될거야ㅎㅎ,89997,69,0,1,0
급 심야 영화 보고 싶다 키키,68594,16,0,0,0
직장생활은 할만해? 몸 쓰는 일이가?,43084,20,0,0,0
키키 아 고등학교 선생님들 뵙고 싶다,99707,20,0,0,0
야 내 친구는 오빠랑 같이 영화를 보러 다니더라,73388,26,0,0,0
라오스 서식 박쥐서 코로나랑 일치하는 바이러스 나왔대,58467,29,0,0,0
어릴 때 방방 좀 탔어?,84229,13,0,0,0
"오늘 저녁에 시간 되면 상영하는 영화 좀 알아봐, 번거롭지 않게 이 번호로 카톡이나 문자 좀 보내줄래? <PHONE> 🙏",48332,67,0,1,0
오빠야는 쇼핑몰에서 옷 사봤어 ?,48433,18,0,0,0
골프채 500만원 실화 냐고,113348,15,0,0,0
너는 시험 스트레스 많이 받은 편이야?,84404,21,0,0,0
곧 대통령 선거 한다던데 너 알고 있어?,60705,22,0,0,0
아 정말? 애잔해 ...,99731,13,0,0,0
"오늘 찍은 사진들, 너무 잘 나왔다고 봐야지!ㅋㅋ 여기 <URL>에서 확인 가능해~",45348,46,1,0,0
대탈출 이번 시즌이 벌써 끝났네,74819,17,0,0,0
쇼핑몰이 너무 많아서 문제예요,68792,16,0,0,0
너네 캠핑 가봤어?,111478,10,0,0,0
아 저번에 말했던 그 영화 티켓 사셨어? 근데 어떻게 받아? 아 여기서 확인할 수 있어요 <URL> 그리고 전화 한번 해주세요 <PHONE> 톡으로는 잘 못보거든요 ㅠㅠ,89729,94,1,1,0
휴 나 모가디슈 4처넌에 잡음...,67634,19,0,0,0
"시간 있으면 이번 주말에 같이 캠핑 가자고! 장소는 아직 안정했는데, 논의할 것들 있으면 이 번호로 전화해 줘 <PHONE>ㅎㅎ",130211,71,0,1,0
요즘 너무 재밌게 보는 드라마가 있는데 링크 <URL> 여기에 첨부 해놨어! 혹시나 맘에 들면 이번 주 주말에 같이 볼래? 별로라면 연락 좀 <PHONE> 번호로 주면 돼~ㅎㅎ,83514,98,1,1,0
일본 화산 터진 거 알아?,96614,14,0,0,0
직장생활 완전 힘듦...?,100269,14,0,0,0
오빠야 진로는 선택은 잘했음?,76591,16,0,0,0
서울은 원룸 월세 천차만별이지?,100527,17,0,0,0
낚시 해 본 적 있어?,61209,12,0,0,0
"오늘 밤엔 네 일정이 없다면서, 나 조금 전에 지나가는 카페에서 2+1 행사 하고 있더라구ㅎㅎ 번호 미리 저장하고, 혹시나 해서 시간 될 때 연락해봐 <PHONE>",82831,91,0,1,0
다음 주 목금 휴가 쓰면 완전 연휴 길더라?,41881,24,0,0,0
형은 외모는 딱 좋은데,73197,12,0,0,0
요 며칠 날씨가 왜 이래요? 키키,82711,18,0,0,0
나도 여우 종류 한번 키워보고 싶다...,89744,22,0,0,0
"야, 내일 중국집에서 만나자 너 찾아가기 힘들게 하기 생각하면 이 번호로 전화해 ㅋㅋ <PHONE> 참고로 나 무슨 케이스 좋아하는지 아니ㅋㅋ",67734,79,0,1,0
불닭볶음면에 왜 닭고기 없냐고 멕시코에서 한국 라면 회수조치했대 키키,68609,38,0,0,0
"요즘 핫한 웹툰, 이거 보셨나요 ㅋㅋㅋㅋ 어제 미친듯이 웃었어요 <URL> 꼭 한 번 봐보세요~",130439,53,1,0,0
아 담배 끊어야 하는데... 요즘 진짜 건강 안 좋아짐,76157,30,0,0,0
야 근데 무슨 색이든 그거 두피 건강에 안 좋앙...,76822,29,0,0,0
강아지 관절 영양제를 좀 사볼까?,49021,18,0,0,0
** 나 너무 배고프다... 밥 좀 먹자,47795,22,0,0,0
너네 하는 운동 있니?,67244,12,0,0,0
오늘 저녁 많이 먹었어?,76161,13,0,0,0
이야... 유명배우 케이씨 머선 일,100419,19,0,0,0
자기야 나 너무 배불러 ㅠ,99522,14,0,0,0
"야, 내일 모임 장소가 바뀌었어. 그런대로 늦은 건 영 못 받겠다니까? ㅎㅎ 아무튼, 혹시나 늦을까봐 예약한 번호 남겨둘게, 필요하면 연락해 <PHONE>.",63867,87,0,1,0
너처럼 일이 잘 안 풀리면 뭐라도 하고 싶어져서 완전 귀여운 개구쟁이 강아지 입양했어! 사진은 이 링크에 올려두었어 <URL>. 복사해서 보러가봐~~ 더 궁금한 거 있으면 <PHONE> 로 편하게 연락해~,64430,114,1,1,0
오늘은 누나한테 전화 한 통 해봐,84405,18,0,0,0
오늘은 그러면 집을 떠나 있는 건가요? 키키,64811,24,0,0,0
나 지금 술 먹으러 갈건데 나올래?,68315,19,0,0,0
모두 잘 지냈어? 하하,84862,12,0,0,0
어디 놀러 갈 시간은 없고 출퇴근만 하지,76649,22,0,0,0
* 너 나한테 관심 있어서 우리 오빠한테 잘보이려는려?,89802,30,0,0,0
요즘 살이 너무 찐 거 같아,135851,15,0,0,0
이번에 넷플릭스 자막에 독도가 동해가 아니라 일본해로 표기돼서 나왔대,75575,38,0,0,0
니는 키우고 있는 반려동물 있나? 키키,110837,21,0,0,0
"헤헤 봄 아웃핏 어때? 잘어울릴 것 같아서 은근 찍은 건데, 사진 <URL>에서 확인할 수 있어! 궁금하면 언제든지 <PHONE>으로 물어봐도 돼!",63447,82,1,1,0
요새 아프가니스탄 관련 뉴스 봤어?,48350,19,0,0,0
키키 언니 떨어져 있으면 부모님 안 보고 싶어요?,69381,27,0,0,0
난 꼬마 때 오락실 가는 것도 좋아했는데,42088,22,0,0,0
나중에 넌 어디 취업할 거야?,60756,16,0,0,0
부모님은 백신 다 맞으셨어?,67661,15,0,0,0
캠핑 갈 때 입을 리버서블 집업 샀어,130342,20,0,0,0
아니 게임을 안 하니까 집에 컴터도 없음...,63780,25,0,0,0
다들 취미가 뭐니?,96409,10,0,0,0
멜로가 체질 이라는 드라마를 봤는데 좋은 말들 많이 나오더라 키키,84820,36,0,0,0
우리도 여름에 놀러 가서 *이한테 물총 겁나 쏘자,83430,27,0,0,0
"언니! 어제 영화 너무 재밌대서 예매 링크 좀 보내봤어, 부담 없이 한 번 봐볼래? <URL> ☺️ 그리고 나중에 뭐 궁금한 거 있으면 언제든지 전화해! 내 번호 <PHONE>야~",83093,100,1,1,0
점 빼러 가야 하는데 아직 못 감 키키,135831,21,0,0,0
전자상거래를 주로 어떤 때에 써?,67972,18,0,0,0
오빠는 좋아하는 영화 배우 있어요?,68694,19,0,0,0
아 요즘 기름 넣으려는데 왜케 비싸지...?,129538,24,0,0,0
회사만 왔다 갔다 해도 십 만원 돈이니 ㅠㅠ,49016,24,0,0,0
요즘은 회식도 안 하고 코로나 때문에 좋네요 키키,69038,27,0,0,0
엄마 아빠랑 이사 갈 집 알아보는 중 ㅠㅠ,49174,23,0,0,0
요새 에이블리 쿠폰 많이 뿌리더라,84679,18,0,0,0
난 시사 교양 코너를 젤 좋아행,113369,17,0,0,0
어릴 때 어떤 만화 봤었어?,43100,15,0,0,0
너네 집엔 가족사진 걸려 있어?,130756,17,0,0,0
오빠야는 도라에몽 만화 봤나?,43554,16,0,0,0
"야, 가끔 우리집 고양이 스쳐가다가 발에 걸려 넘어지는 거 보면 뭔가 웃긴데, 너도 한 번 봐? 내일 영상으로 찍어서 보내줄게, 새 핸드폰 번호인데 기억해둬 <PHONE> ㅋㅋ",58350,98,0,1,0
니 스포츠 잘하는 거 있나? 할 줄 아는 거,41607,24,0,0,0
다들 잘 지냈냐 키키,84519,11,0,0,0
"헬스장 회원카드 분실했어?ㅠㅠ 여기 000-0000-0000, 헬스장 번호야. 바로 전화해봐!",67140,52,0,1,0
이번에 해산물 뷔페 갔는데 진짜 맛있게 잘 먹고왔다~,74861,29,0,0,0
그냥 국토만 돌면 되는구나 ?,67698,16,0,0,0
니는 제일 좋아하는 가수가 누구야?,73180,19,0,0,0
너는 쇼핑몰에서 물건 자주 사?,82616,17,0,0,0
