text,id,length,has_url,has_phone,label
퇴직금으로 큰 혜택을 드립니다! <URL>에서 본인인증 후 지금 바로 신청하세요! <PHONE>,C007741-01,53,1,1,1
퇴직금을 보내면 큰돈이 저축액으로 제공된다는 기회를 놓치지 마세요! 자세한 내용은 <URL>에서 확인하세요. <PHONE>으로 문의하시면 더 많은 혜택을 드려요!,C007742-01,90,1,1,1
안녕하세요! 퇴직금을 보내면 특별한 저축 혜택을 받을 수 있습니다. 지금 바로 <URL>를 방문해 보세요! <PHONE>으로도 상담 가능합니다!,C007742-02,80,1,1,1
퇴직금으로 저축하면 최대 30% 더 많이 드려요! 지금 <URL>에서 확인해 보세요. <PHONE>으로 문의하면 더 많은 혜택이!,C007743-01,72,1,1,1
긴급! 퇴직금을 저축하면 특별 보너스가 지급됩니다! 자세한 내용은 <URL>를 확인하세요! <PHONE>으로 문의 가능!,C007743-02,67,1,1,1
퇴직금으로 목돈 마련하세요! 지금 가입하면 특별 혜택이 있습니다. 자세한 내용은 <URL> 확인해보세요. <PHONE>으로 문의해도 좋아요!,C007744-01,78,1,1,1
퇴직금이 최대 3배로 불어나는 기회! 한정 혜택을 놓치지 마세요. 자세한 내용은 <URL>에서 확인하세요!,C007744-02,59,1,0,1
지금 가입하면 무료로 최신 스마트폰을 드려요! <URL> <PHONE>으로 문의하세요!,C007761-01,48,1,1,1
"한정 수량! 모든 상품 50% 할인, 지금 바로 확인해보세요! <URL> <PHONE>으로 연락주세요!",C007761-02,57,1,1,1
한정 기간 동안 무료 체험 이벤트 진행 중입니다! 지금 바로 <URL>를 방문해보세요! <PHONE>으로 문의하시면 더 많은 혜택을 드려요!,C007762-01,78,1,1,1
당첨 확률 100%! 지금 <URL>에 가입하면 특별한 선물이 기다리고 있어요! <PHONE>으로 문의하시면 자세한 내용을 알려드립니다!,C007762-02,76,1,1,1
한정 기간 동안 무료로 제공되는 기회를 놓치지 마세요! 지금 바로 <URL>에서 확인하고 <PHONE>으로 연락주세요!,C007763-01,66,1,1,1
긴급! 지금 가입하면 특별한 혜택이 가득합니다! 자세한 내용은 <URL>를 방문하시고 <PHONE>으로 문의하세요!,C007763-02,64,1,1,1
무료로 최신 스마트폰을 받아보세요! <URL> 클릭 후 본인인증만 하면 끝! <PHONE>으로 문의주세요.,C007764-01,59,1,1,1
한정 세일! 저희 제품을 구매하시면 100% 당첨되는 이벤트에 참여하실 수 있습니다! <URL>에서 확인하세요!,C007764-02,62,1,0,1
"지금 <URL>에서 한정 할인 중! 인기 음식이 최대 50% 할인, 놓치지 마세요! <PHONE>으로 문의하시면 더 많은 혜택을 드려요!",C007773-01,76,1,1,1
긴급 공지! <URL>에서 오늘 하루만 음식 대량 구매 시 30% 환급! 기회를 잡아보세요! <PHONE>으로 자세한 사항 문의!,C007773-02,72,1,1,1
지금 한정 세일 중! 인기 있는 음식이 50% 할인된 가격으로 제공돼요. 절대 놓치지 마세요! 자세한 사항은 <URL> 방문해 주세요. <PHONE>으로 문의하셔도 좋아요!,C007774-01,96,1,1,1
긴급한 소식! 오늘만 특별한 음식 세일이 진행 중이에요. 놓치면 후회할 가격이니 빨리 확인하세요! 더 많은 정보는 <URL>에서 확인해 주세요.,C007774-02,80,1,0,1
지금 주문하면 50% 할인 혜택이! 기회를 놓치지 마세요! <URL> <PHONE>,C007775-01,46,1,1,1
한정 수량! 오늘만 30% 할인 이벤트 진행 중입니다! 서두르세요! <URL>,C007775-02,43,1,0,1
🎉단 한정! 인기 있는 음식 메뉴를 50% 할인된 가격에 만나보세요! 자세한 내용은 <URL>를 확인하세요! <PHONE>으로 문의하시면 추가 혜택도 드립니다!,C007776-01,89,1,1,1
"🤑무료 음료와 함께하는 특별 할인! 지금 바로 <URL>를 방문하고, <PHONE>으로 연락하면 추가 혜택까지! 놓치지 마세요!",C007776-02,71,1,1,1
📚 지금 바로 <URL>에서 한 달 무료 전자도서 이용권을 받아보세요! 독서의 새로운 세계가 열립니다. <PHONE>으로 문의하시면 더 많은 혜택도 안내해 드려요!,C007785-01,91,1,1,1
🎉 당신을 위해 준비한 한정 한 달 무료 전자도서 이용권! <URL>에서 지금 신청하세요! 독서를 사랑하는 당신에게 딱 맞는 기회입니다!,C007785-02,76,1,0,1
📚 당신의 독서 생활을 한 단계 업그레이드하세요! 이북 홈피에서 한 달 무료 사용권을 드립니다! 지금 바로 가입하고 다양한 책을 마음껏 즐겨보세요! <URL> <PHONE>으로 문의!,C007786-01,102,1,1,1
