text,id,length,has_url,has_phone,label
퇴직금을 입금하면 최대 200만원을 무료로 드립니다! 지금 바로 <URL>에서 확인해보세요! <PHONE>으로 문의해도 됩니다!,C007741-01,71,1,1,1
한정 이벤트! 퇴직금 저축액으로 추가 혜택을 드려요! 자세한 내용은 <URL>를 클릭하세요! <PHONE>으로도 상담 가능합니다!,C007741-02,72,1,1,1
긴급! 퇴직금을 저축하시면 큰 혜택이 기다리고 있어요! 지금 <URL>를 방문해 보세요! <PHONE>으로 문의해도 좋습니다!,C007741-03,70,1,1,1
퇴직금을 입금하면 추가로 100만원 환급! 기회를 놓치지 마세요! 자세한 내용은 <URL>에서 확인하세요! <PHONE>도 가능합니다!,C007741-04,75,1,1,1
당첨의 기회! 퇴직금 저축으로 특별 혜택을 드립니다! 지금 바로 <URL>를 확인하세요! <PHONE>으로 문의하셔도 됩니다!,C007741-05,70,1,1,1
퇴직금을 보내면 한정된 저축 혜택이 제공됩니다! 지금 바로 <URL>에서 확인하세요. <PHONE>으로 문의하면 더 많은 정보를 드려요!,C007742-01,76,1,1,1
"긴급하게 퇴직금을 보내면 큰돈으로 저축할 수 있는 기회! 자세한 내용은 <URL>를 방문하시고, 궁금한 점은 <PHONE>으로 연락주세요!",C007742-02,77,1,1,1
퇴직금을 보내면 특별한 저축 혜택이 기다리고 있습니다! 서두르세요! <URL>에서 확인해보세요. <PHONE>으로 문의하시면 더 많은 정보가 있어요.,C007742-03,83,1,1,1
한정된 시간 동안 퇴직금을 보내시면 저축액이 대폭 늘어납니다! 지금 <URL>에서 확인하세요. <PHONE>으로 문의하시면 자세히 안내해드려요!,C007742-04,80,1,1,1
"퇴직금을 보내고 큰돈으로 저축하세요! 지금 <URL>에서 혜택을 확인하고, <PHONE>으로 문의하시면 더 많은 정보를 드려요!",C007742-05,71,1,1,1
퇴직금을 넣으면 고수익을 보장하는 특별한 혜택이 기다리고 있습니다! 지금 바로 확인하세요: <URL> <PHONE>.,C007743-01,65,1,1,1
한정된 기간 동안 퇴직금 저축으로 큰 돈을 불릴 기회를 놓치지 마세요! 자세한 내용은 <URL>에서 확인하세요!,C007743-02,62,1,0,1
지금 퇴직금을 저축하면 특별한 환급 혜택을 드립니다! 놓치지 마세요! <URL> <PHONE>.,C007743-03,53,1,1,1
퇴직금을 넣기만 하면 많은 돈을 보장받을 수 있는 기회! 지금 바로 신청하세요: <URL>.,C007743-04,51,1,0,1
긴급! 퇴직금을 저축하면 파격적인 이자 혜택이 제공됩니다! 자세한 사항은 <URL>에서 확인해보세요!,C007743-05,56,1,0,1
"퇴직금이 엄청난 혜택으로 저축된다는 사실, 알고 계셨나요? 지금 바로 확인해보세요! <URL> <PHONE>.",C007744-01,61,1,1,1
퇴직금을 활용해 더 큰 금융 혜택을 누리세요! 한정 기간 동안만 제공됩니다. <URL> <PHONE>.,C007744-02,57,1,1,1
퇴직 후 저축을 늘릴 수 있는 기회를 놓치지 마세요! 긴급한 혜택이 기다립니다! <URL>.,C007744-03,51,1,0,1
"퇴직금으로 더 많은 돈을 받을 수 있는 방법, 지금 확인하세요! 선착순 혜택입니다! <URL> <PHONE>.",C007744-04,61,1,1,1
퇴직금을 부으면 더 많은 저축이 가능하다는 사실! 지금 당장 확인해보세요! <URL>.,C007744-05,48,1,0,1
긴급! 지금 가입하시면 <URL>에서 무료 체험 기회를 드립니다! 놓치지 마세요! <PHONE>,C007761-01,53,1,1,1
선착순 100명에게만 제공하는 특별 혜택! <URL>에서 확인하세요! 당첨의 기회가 당신을 기다립니다!,C007761-02,57,1,0,1
본인인증만 하면 <URL>에서 놀라운 상품을 무료로 드려요! 지금 바로 신청하세요!,C007761-03,46,1,0,1
혜택이 가득한 <URL>에 방문하시면 1+1 이벤트도 진행 중입니다! <PHONE>으로 문의하세요!,C007761-04,55,1,1,1
당신도 할 수 있습니다! <URL>에 들어가시면 특별한 할인 혜택이 기다리고 있어요!,C007761-05,47,1,0,1
긴급! 당신만을 위한 무료 혜택이 있어요! 지금 바로 <URL>에 방문하세요! <PHONE>으로 문의하셔도 좋아요!,C007762-01,64,1,1,1
한정판! 지금 가입하시면 특별한 선착순 혜택을 드려요! 자세한 내용은 <URL>를 확인하세요! <PHONE>으로도 문의 가능합니다!,C007762-02,73,1,1,1
당첨의 기회! 무료 상품을 받아갈 수 있는 기회를 놓치지 마세요! <URL>에서 확인해 보세요! <PHONE>으로 문의하셔도 됩니다!,C007762-03,74,1,1,1
환급 보장! 지금 <URL>에 방문하시면 특별한 혜택을 누릴 수 있어요! <PHONE>으로 궁금한 점을 물어보세요!,C007762-04,64,1,1,1
본인인증 후 특별 혜택을 드려요! 지금 바로 <URL>를 방문해보세요! <PHONE>으로 문의하셔도 좋습니다!,C007762-05,61,1,1,1
지금 바로 <URL>에 접속하면 무료 샘플을 받을 수 있어요! 한정 수량이니 서두르세요!,C007763-01,49,1,0,1
당신도 쉽게 할 수 있는 투자! <URL>에서 가입하면 100% 환급 보장! <PHONE>으로 문의하세요!,C007763-02,59,1,1,1
긴급 속보! <URL>에서만 제공하는 특별 혜택! 지금 바로 클릭하세요!,C007763-03,40,1,0,1
선착순 100명에게만! <URL>에서 무료 쿠폰을 드려요! 놓치지 마세요!,C007763-04,41,1,0,1
당첨 확률 100%! <URL>에서 이벤트에 참여하면 큰 혜택이 기다리고 있어요!,C007763-05,45,1,0,1
무료로 제공되는 기회를 놓치지 마세요! 지금 <URL>에 접속하면 특별 혜택이 기다리고 있어요! <PHONE>으로 문의해 주세요!,C007764-01,72,1,1,1
한정 이벤트! <URL>에서만 제공되는 무료 상품을 지금 바로 확인하세요! 당신도 당첨될 수 있어요!,C007764-02,56,1,0,1
긴급 공지! <URL>에서 본인인증 후 특별한 선물을 받을 수 있는 기회를 드려요! <PHONE>으로 연락주세요!,C007764-03,63,1,1,1
무료 체험 기회! <URL>에 방문하시면 특별한 혜택이 준비되어 있습니다. 서두르세요!,C007764-04,48,1,0,1
"당첨자 발표! <URL>에서 확인하고, 당신의 이름이 있다면 <PHONE>으로 연락 주세요!",C007764-05,51,1,1,1
이 특별한 기회를 놓치지 마세요! 최대 50% 할인! <URL> <PHONE>,C007773-02,43,1,1,1
지금 방문하시면 한정 수량으로 맛있는 음식이 50% 할인된다고 합니다! 서두르세요! <URL>,C007774-01,52,1,0,1
"오늘 하루만 특별히, 인기 음식 30% 할인! 놓치면 후회할 기회! 자세한 사항은 <URL>에서 확인하세요! <PHONE>",C007774-02,68,1,1,1
긴급공지! 한정 수량으로 제공되는 특별 메뉴가 40% 할인 중입니다! 지금 바로 주문하세요! <URL>,C007774-03,57,1,0,1
당첨된 당신! 오늘 밤 맛있는 음식을 50% 할인된 가격으로 만나보세요! <URL> <PHONE>,C007774-04,54,1,1,1
무료 배송 이벤트 중! 인기 음식이 지금 30% 세일입니다! 자세한 정보는 <URL>를 참고하세요!,C007774-05,55,1,0,1
지금 바로 <URL>에서 한정 할인 중! 인기 메뉴 최대 50% 할인 혜택을 놓치지 마세요! <PHONE>으로 문의하시면 추가 혜택이 있습니다!,C007775-01,80,1,1,1
무료 배달 이벤트가 진행 중입니다! <URL>에서 주문하시면 인기 음식이 최대 30% 할인! <PHONE>으로 확인해보세요!,C007775-02,69,1,1,1
긴급! <URL>에서 오늘 하루 한정으로 모든 메뉴 40% 할인! 지금 주문하세요! <PHONE>으로 추가 정보 문의 가능합니다!,C007775-03,72,1,1,1
당첨된 고객님께는 특별 할인 혜택을 드립니다! <URL>에서 확인해보세요! <PHONE>으로 문의하면 더 많은 혜택이!,C007775-04,66,1,1,1
한정 기간 동안 <URL>에서 모든 음식 최대 50% 할인! 지금 바로 주문하세요! <PHONE>으로 추가 정보 요청 가능합니다!,C007775-05,72,1,1,1
🎉 당신만을 위한 특별 혜택! 지금 <URL>에서 맛있는 음식 50% 할인! 한정 수량이니 서두르세요! 📞<PHONE>,C007776-01,66,1,1,1
🍔 무료 음료 증정 이벤트! <URL>에서 음식을 주문하면 추가 혜택이 쏟아져요! 기회를 놓치지 마세요!,C007776-02,58,1,0,1
